,precision,recall,f1-score,support
66,0.8947368421052632,0.9057377049180327,0.90020366598778,244.0
67,0.99581589958159,0.99581589958159,0.99581589958159,239.0
68,0.9872611464968153,0.9567901234567902,0.9717868338557993,162.0
69,0.8816568047337278,0.9254658385093167,0.9030303030303031,161.0
70,0.94375,0.937888198757764,0.940809968847352,161.0
71,0.9559748427672956,0.9382716049382716,0.9470404984423676,162.0
72,0.8765432098765432,0.8819875776397516,0.8792569659442725,161.0
73,0.9346938775510204,0.9423868312757202,0.9385245901639344,243.0
74,0.48427672955974843,0.4723926380368098,0.4782608695652174,163.0
75,0.8008658008658008,0.7644628099173554,0.7822410147991543,242.0
76,0.9333333333333333,0.9390243902439024,0.9361702127659575,164.0
77,0.75,0.7272727272727273,0.7384615384615385,165.0
78,1.0,0.9940119760479041,0.996996996996997,167.0
79,0.9182389937106918,0.9012345679012346,0.9096573208722741,162.0
80,0.6900584795321637,0.7283950617283951,0.7087087087087087,162.0
81,0.9226190476190477,0.950920245398773,0.9365558912386707,163.0
82,0.9461077844311377,0.9634146341463414,0.9546827794561934,164.0
83,0.926829268292683,0.9212121212121213,0.9240121580547113,165.0
84,0.9333333333333333,0.9506172839506173,0.9418960244648318,162.0
85,0.9748427672955975,0.950920245398773,0.9627329192546584,163.0
86,0.4129032258064516,0.39751552795031053,0.4050632911392405,161.0
87,0.42696629213483145,0.4720496894409938,0.44837758112094395,161.0
88,0.7165991902834008,0.7344398340248963,0.7254098360655737,241.0
89,0.7552742616033755,0.7366255144032922,0.7458333333333333,243.0
90,0.8333333333333334,0.8264462809917356,0.8298755186721992,242.0
91,0.9306122448979591,0.9421487603305785,0.9363449691991786,242.0
92,0.9409282700421941,0.9214876033057852,0.9311064718162839,242.0
93,0.9877300613496932,0.9698795180722891,0.9787234042553191,166.0
94,0.7222222222222222,0.6459627329192547,0.6819672131147541,161.0
95,0.723404255319149,0.8292682926829268,0.7727272727272727,164.0
96,0.8636363636363636,0.9325153374233128,0.8967551622418879,163.0
97,0.8685446009389671,0.7613168724279835,0.8114035087719298,243.0
98,0.9454545454545454,0.9512195121951219,0.9483282674772037,164.0
99,0.9083333333333333,0.8934426229508197,0.9008264462809917,244.0
accuracy,0.8708502445623895,0.8708502445623895,0.8708502445623895,0.8708502445623895
macro avg,0.869766732720735,0.8696503125751862,0.8693787561048532,19218.0
weighted avg,0.8717982208072893,0.8708502445623895,0.8710108982889196,19218.0
